item_id,item_name,item_price,item_cat,image_url,product_link,image_file
316,"GURSKENשידת לילה, בז' בהיר, ‎39x30 ס""מ‏",₪ 125,Table bedside,https://www.ikea.com/pimg/0923962_pe788458_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/gursken-bedside-table-light-beige-80486328/,316.jpg
317,"HAUGAשידת לילה, לבן, ‎40x36 ס""מ‏",₪ 245,Table bedside,https://www.ikea.com/pimg/0963768_pe808707_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/hauga-bedside-table-white-00488963/,317.jpg
318,"BJÖRKSNÄSשידת לילה, ליבנה, ‎48x38 ס""מ‏",₪ 495,Table bedside,https://www.ikea.com/pimg/0598067_pe677433_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/bjoerksnaes-bedside-table-birch-70407360/,318.jpg
319,"EKETארונית, גוון אלון מולבן, ‎35x25x35 ס""מ‏",₪ 90,Table bedside,https://www.ikea.com/pimg/1212322_pe910595_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/eket-cabinet-white-stained-oak-effect-90428842/,319.jpg
320,"SKRUVBYשולחן צד, לבן, ‎40x32 ס""מ‏",₪ 245,Table bedside,https://www.ikea.com/pimg/1123690_pe874848_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/skruvby-side-table-white-80532009/,320.jpg
321,"NORDKISAשידת לילה, במבוק, ‎40x40 ס""מ‏",₪ 345,Table bedside,https://www.ikea.com/pimg/0756025_pe748745_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/nordkisa-bedside-table-bamboo-60447677/,321.jpg
322,"BRIMNESשידת לילה, לבן, ‎39x41 ס""מ‏",₪ 245,Table bedside,https://www.ikea.com/pimg/0624423_pe691830_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/brimnes-bedside-table-white-10234942/,322.jpg
323,"GRÅFJÄLLETשידת לילה, שחור, ‎45x36x59 ס""מ‏",₪ 225,Table bedside,https://www.ikea.com/pimg/1327638_pe944536_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/grafjaellet-bedside-table-anthracite-20570221/,323.jpg
324,"EKETקומבינצית ארון עם רגליים, לבן/גוון אלון מולבן, ‎35x35x80 ס""מ‏",₪ 375,Table bedside,https://www.ikea.com/il/he/images/products/eket-cabinet-combination-with-legs-white-white-stained-oak-effect__0709217_pe726884_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/eket-cabinet-combination-with-legs-white-white-stained-oak-effect-s19286413/,324.jpg
325,"LACKשולחן צד, לבן, ‎55x55 ס""מ‏",₪ 65,Table bedside,https://www.ikea.com/pimg/0702210_pe724345_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/lack-side-table-white-30449908/,325.jpg
326,"NORDLIשידת 2 מגירות, לבן, ‎40x54 ס""מ‏",₪ 595,Table bedside,https://www.ikea.com/il/he/images/products/nordli-chest-of-2-drawers-white__0555298_pe660391_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/nordli-chest-of-2-drawers-white-s09239827/,326.jpg
327,"STRÅLAמנורה עומדת LED, צורת גפרור עץ",₪ 145,Lamp floor,https://www.ikea.com/il/he/images/products/strala-led-floor-lamp-matchstick-shaped-wood__1409060_pe972117_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/strala-led-floor-lamp-matchstick-shaped-wood-00606650/,327.jpg
328,"LERSTAמנורת קריאה/עומדת, אלומיניום גוון כרום",₪ 125,Lamp floor,https://www.ikea.com/pimg/0606034_pe681992_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/lersta-floor-reading-lamp-aluminium-chrome-effect-00110640/,328.jpg
329,"HEKTARמנורה עומדת, אפור כהה",₪ 295,Lamp floor,https://www.ikea.com/pimg/0149974_pe308131_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/hektar-floor-lamp-dark-grey-00215307/,329.jpg
330,"VIDJAמנורה עומדת, לבן, 138 ס""מ",₪ 195,Lamp floor,https://www.ikea.com/pimg/0606512_pe682388_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/vidja-floor-lamp-white-00309198/,330.jpg
331,"ÅRSTIDמנורה עומדת, ציפוי ניקל/לבן",₪ 275,Lamp floor,https://www.ikea.com/il/he/images/products/arstid-floor-lamp-nickel-plated-white__0684004_pe720967_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/arstid-floor-lamp-nickel-plated-white-60163862/,331.jpg
332,"ÖKENSANDמנורה עומדת, בוק/לבן",₪ 245,Lamp floor,https://www.ikea.com/pimg/1187892_pe899535_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/oekensand-floor-lamp-beech-white-00541526/,332.jpg
333,"BLÄNKFYRמנורה עומדת, ציפוי ניקל",₪ 195,Lamp floor,https://www.ikea.com/pimg/1342648_pe949079_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/blaenkfyr-floor-lamp-nickel-plated-00566687/,333.jpg
334,"BARLASTמנורה עומדת, שחור/לבן, 150 ס""מ",₪ 49,Lamp floor,https://www.ikea.com/pimg/0957676_pe805130_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/barlast-floor-lamp-black-white-10430368/,334.jpg
335,"SIMRISHAMNמנורה עומדת, ציפוי כרום/חלבי זכוכית",₪ 395,Lamp floor,https://www.ikea.com/il/he/images/products/simrishamn-floor-lamp-chrome-plated-opal-white-glass__0789445_pe763989_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/simrishamn-floor-lamp-chrome-plated-opal-white-glass-10437765/,335.jpg
336,"KINNAHULTמנורה עומדת, עץ מילה/לבן, 150 ס""מ",₪ 295,Lamp floor,https://www.ikea.com/pimg/1170759_pe892939_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/kinnahult-floor-lamp-ash-white-10559257/,336.jpg
337,"HEKTARמנורה עומדת עם 3 ספוטים, אפור כהה",₪ 345,Lamp floor,https://www.ikea.com/pimg/0606224_pe682139_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/hektar-floor-lamp-with-3-spot-dark-grey-20393600/,337.jpg
338,"TÅGARPמנורה עומדת, תאורה עילית, שחור/לבן",₪ 69,Lamp floor,https://www.ikea.com/pimg/0810840_pe771436_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/tagarp-floor-uplighter-black-white-20404095/,338.jpg
339,"LAUTERSמנורה עומדת, עץ מילה/לבן",₪ 295,Lamp floor,https://www.ikea.com/pimg/0663863_pe712536_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/lauters-floor-lamp-ash-white-30405042/,339.jpg
340,"ANKARSPELמנורה עומדת/קריאה, גוון פיוטר",₪ 295,Lamp floor,https://www.ikea.com/pimg/1067377_pe852699_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/ankarspel-floor-reading-lamp-pewter-effect-30490083/,340.jpg
341,"SINNERLIGמנורה עומדת, במבוק/עבודת יד",₪ 295,Lamp floor,https://www.ikea.com/pimg/1102331_pe866913_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/sinnerlig-floor-lamp-bamboo-handmade-30501213/,341.jpg
342,"KLÖVINGמנורה עומדת, שחור",₪ 195,Lamp floor,https://www.ikea.com/pimg/1341867_pe948915_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/kloeving-floor-lamp-anthracite-30540016/,342.jpg
343,"FLYGHÖJDמנורה עומדת, פליז/בז'",₪ 245,Lamp floor,https://www.ikea.com/pimg/1244478_pe921198_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/flyghoejd-floor-lamp-brass-beige-50574473/,343.jpg
344,"STRANDADמנורה עומדת, לבן/שחור",₪ 69,Lamp floor,https://www.ikea.com/pimg/1403319_pe969302_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/strandad-floor-lamp-white-black-30566737/,344.jpg
345,"ISJAKTמנורת קריאה/עומדת לד, ניתן לעמעם/ציפוי ניקל, 180 ס""מ",₪ 395,Lamp floor,https://www.ikea.com/il/he/images/products/isjakt-led-floor-uplighter-reading-lamp-dimmable-nickel-plated__1006753_pe825819_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/isjakt-led-floor-uplighter-reading-lamp-dimmable-nickel-plated-40459708/,345.jpg
346,"HEKTOGRAMמנורה עומדת, תאורה עילית, מוכסף/לבן",₪ 95,Lamp floor,https://www.ikea.com/pimg/0941175_pe795353_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/hektogram-floor-uplighter-silver-colour-white-40477726/,346.jpg
347,"VINDKASTמנורה עומדת, לבן",₪ 225,Lamp floor,https://www.ikea.com/pimg/1180020_pe896176_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/vindkast-floor-lamp-white-40539084/,347.jpg
348,"HEKTARמנורה עומדת עם 3 ספוטים, חום-אדום",₪ 345,Lamp floor,https://www.ikea.com/pimg/1279732_pe931507_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/hektar-floor-lamp-with-3-spot-brown-red-50577462/,348.jpg
349,"STOCKHOLM 2025מנורה עומדת, לבן בד/ציפוי פליז, 159 ס""מ",₪ 495,Lamp floor,https://www.ikea.com/il/he/images/products/stockholm-2025-floor-lamp-white-textile-brass-plated__1285165_pe933236_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/stockholm-2025-floor-lamp-white-textile-brass-plated-50585914/,349.jpg
350,"SAMBORDמנורה עומדת/קריאה, שחור/לבן",₪ 125,Lamp floor,https://www.ikea.com/pimg/1299316_pe936525_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/sambord-floor-reading-lamp-black-white-60549402/,350.jpg
351,"NÖDMASTמנורת לד ניידת, מופעלת ע""י סוללות, ורוד בהיר/אפור כהה-ירוק, 26 ס""מ",₪ 79,Lamp table,https://www.ikea.com/pimg/1300295_pe937082_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/noedmast-led-portable-lamp-battery-operated-light-pink-dark-grey-green-50575905/,351.jpg
352,"LAMPANמנורת לד ניידת, פועל על סוללות צבע מתכוונן/לשימוש מחוץ לבית לבן, 24 ס""מ",₪ 49,Lamp table,https://www.ikea.com/pimg/1382314_pe962254_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/lampan-led-portable-lamp-battery-operated-adjustable-colour-outdoor-white-60594606/,352.jpg
353,"LÄNSPORTמנורת לד ניידת, מופעלת ע""י סוללות, לבן/אפור כהה, 22 ס""מ",₪ 95,Lamp table,https://www.ikea.com/pimg/1291688_pe935206_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/laensport-led-portable-lamp-battery-operated-white-dark-grey-60575919/,353.jpg
354,"TVÅMASTADמנורת לד ניידת, פועל על סוללות פליז/חלבי זכוכית",₪ 125,Lamp table,https://www.ikea.com/pimg/1395846_pe967129_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/tvamastad-led-portable-lamp-battery-operated-brass-opal-white-glass-60597780/,354.jpg
355,"ÅSKMULLERמנורת שולחן, ניתן לעמעם אפור בהיר, 24 ס""מ",₪ 125,Lamp table,https://www.ikea.com/il/he/images/products/askmuller-table-lamp-dimmable-light-grey__1299815_pe936785_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/askmuller-table-lamp-dimmable-light-grey-60576240/,355.jpg
356,"FLYGHÖJDמנורת שולחן, פליז/בז', 54 ס""מ",₪ 125,Lamp table,https://www.ikea.com/pimg/1244488_pe921206_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/flyghoejd-table-lamp-brass-beige-00501262/,356.jpg
357,"BARLASTמנורת שולחן, שחור/לבן, 31 ס""מ",₪ 19,Lamp table,https://www.ikea.com/pimg/1032422_pe836908_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/barlast-table-lamp-black-white-00504557/,357.jpg
